city_key,customer_city,customer_state,macro_region,lon,lat,n_orders,mean_actual_delivery_days
areiopolis|SP,areiopolis,SP,Southeast,-48.66685245806604,-22.673298941055307,3,7.546581790123457
arembepe|BA,arembepe,BA,Northeast,-38.18152285695949,-12.711127204241985,2,32.727835648148144
arenapolis|MT,arenapolis,MT,Central-West,-56.84286304875862,-14.45975756874911,1,16.23840277777778
arenopolis|GO,arenopolis,GO,Central-West,-51.559553767296734,-16.3860611269411,1,12.221041666666666
arinos|MG,arinos,MG,Southeast,-46.106049817276705,-15.91242127650875,8,13.043000578703705
aripuana|MT,aripuana,MT,Central-West,-59.451657967372505,-10.176011341845616,8,27.768043981481483
ariquemes|RO,ariquemes,RO,North,-63.04099949999999,-9.912030288047891,13,23.014634081196583
ariranha|SP,ariranha,SP,Southeast,-48.787301622169906,-21.18961659794096,5,11.46057175925926
armacao dos buzios|RJ,armacao dos buzios,RJ,Southeast,-41.9039568032206,-22.76836519859182,28,24.545558035714286
armazem|SC,armazem,SC,South,-49.018296719627266,-28.260902392709987,2,7.419722222222223
arneiroz|CE,arneiroz,CE,Northeast,-40.156241060550286,-6.325763444167217,2,30.45849537037037
aroeiras|PB,aroeiras,PB,Northeast,-35.706107224902766,-7.545888770648164,1,33.84802083333334
arraial d ajuda|BA,arraial d ajuda,BA,Northeast,-39.07488811520848,-16.48911667656967,1,11.68287037037037
arraial d'ajuda|BA,arraial d'ajuda,BA,Northeast,-39.07488811520848,-16.48911667656967,7,20.149131944444445
arraial do cabo|RJ,arraial do cabo,RJ,Southeast,-42.0274215,-22.967609679340452,27,20.99516117969822
arraias|TO,arraias,TO,North,-46.9429483630618,-12.926295951932186,2,20.318657407407407
arroio do meio|RS,arroio do meio,RS,South,-51.94565753764962,-29.399011552497313,9,12.54653806584362
arroio do sal|RS,arroio do sal,RS,South,-49.892034005858456,-29.547431756035273,5,15.842020833333333
arroio do tigre|RS,arroio do tigre,RS,South,-53.08781764095423,-29.335540097025856,2,16.442239583333333
arroio dos ratos|RS,arroio dos ratos,RS,South,-51.73124509630112,-30.08939850488812,9,8.805742026748971
arroio grande|RS,arroio grande,RS,South,-53.08037423506791,-32.23644283160557,3,23.767164351851854
arroio trinta|SC,arroio trinta,SC,South,-51.336437746323305,-26.929312990068393,1,15.394479166666667
arrozal|RJ,arrozal,RJ,Southeast,-44.03547121718152,-22.598629169792233,3,18.405987654320988
artur nogueira|SP,artur nogueira,SP,Southeast,-47.166457717889685,-22.574181674738654,40,7.884223090277778
aruana|GO,aruana,GO,Central-West,-51.0803076758241,-14.927038357031478,2,9.361504629629628
aruja|SP,aruja,SP,Southeast,-46.3221276236262,-23.39737530272017,64,6.712150065104167
arvoredo|SC,arvoredo,SC,South,-52.45605512898442,-27.07486092689343,1,25.08275462962963
arvorezinha|RS,arvorezinha,RS,South,-52.18044450760111,-28.873252586959843,4,15.158605324074074
ascurra|SC,ascurra,SC,South,-49.37812156549716,-26.957574062453073,4,18.801180555555554
assai|PR,assai,PR,South,-50.84450830530919,-23.377564245745905,5,19.114810185185185
assare|CE,assare,CE,Northeast,-39.8714126056569,-6.873431578366453,1,12.240763888888889
assis chateaubriand|PR,assis chateaubriand,PR,South,-53.514313385039806,-24.406376677111503,12,10.028748070987655
assis|SP,assis,SP,Southeast,-50.41587124854291,-22.65736249624909,83,9.795685659303881
assuncao|PB,assuncao,PB,Northeast,-36.732248704492505,-7.077091335231696,1,52.973368055555554
astolfo dutra|MG,astolfo dutra,MG,Southeast,-42.863890630436984,-21.313854000000003,11,9.824252946127945
astorga|PR,astorga,PR,South,-51.666380106277174,-23.2361705381131,7,10.458250661375661
atalaia|AL,atalaia,AL,Northeast,-36.01562795393633,-9.507342669485709,1,11.26201388888889
atalanta|SC,atalanta,SC,South,-49.78347076673655,-27.421134884490684,1,17.23273148148148
ataleia|MG,ataleia,MG,Southeast,-41.11125724785832,-18.04592345644731,2,19.81349537037037
atibaia|SP,atibaia,SP,Southeast,-46.56036576688009,-23.121934192480794,152,8.756526102582846
atilio vivacqua|ES,atilio vivacqua,ES,Southeast,-41.19573318262353,-20.916153831026733,1,24.724074074074075
augustinopolis|TO,augustinopolis,TO,North,-47.88717211650976,-5.468779476965497,1,18.013275462962962
augusto correa|PA,augusto correa,PA,North,-46.637361069578475,-1.0236595690611228,3,9.853653549382717
augusto pestana|RS,augusto pestana,RS,South,-53.99394009993563,-28.514978216755537,2,12.737372685185186
aurea|RS,aurea,RS,South,-52.053499188354486,-27.696323775618502,2,11.066197916666667
auriflama|SP,auriflama,SP,Southeast,-50.55323120558638,-20.68604093423175,10,9.542960648148147
aurilandia|GO,aurilandia,GO,Central-West,-50.46366427849526,-16.678565562329865,1,19.782627314814814
aurora do para|PA,aurora do para,PA,North,-47.558570756672566,-2.1343962499661084,1,9.763912037037038
aurora|CE,aurora,CE,Northeast,-38.96595514932663,-6.943071236075354,3,17.82759259259259
aurora|SC,aurora,SC,South,-49.63727924685152,-27.316404751049497,1,14.041261574074074
avanhandava|SP,avanhandava,SP,Southeast,-49.94460656305607,-21.4583735618344,7,9.175724206349205
avare|SP,avare,SP,Southeast,-48.92456450193324,-23.103345824311848,63,11.616213440623163
avelar|RJ,avelar,RJ,Southeast,-43.41185923546117,-22.323508204442714,4,19.32166087962963
avelino lopes|PI,avelino lopes,PI,Northeast,-43.94778789664073,-10.138812807347133,2,18.70278935185185
azurita|MG,azurita,MG,Southeast,-44.47163294541143,-20.008420285001176,3,29.53443287037037
bacabal|MA,bacabal,MA,Northeast,-44.785772455813486,-4.228985281861967,11,19.173470117845117
bacaxa|RJ,bacaxa,RJ,Southeast,-42.468218243648955,-22.894108855119363,1,26.920023148148147
bacuri|MA,bacuri,MA,Northeast,-45.141792808025905,-1.7278829589999705,3,18.14304012345679
bady bassitt|SP,bady bassitt,SP,Southeast,-49.449962691110834,-20.917668148523294,6,10.096896219135802
baependi|MG,baependi,MG,Southeast,-44.8905421483232,-21.959964627428853,8,12.587122395833333
bage|RS,bage,RS,South,-54.10612190974953,-31.327125460866046,62,17.154354465352448
baianopolis|BA,baianopolis,BA,Northeast,-44.53984856157332,-12.305761847650334,2,30.764913194444443
baixa grande do ribeiro|PI,baixa grande do ribeiro,PI,Northeast,-45.21117488286422,-7.865057195572728,1,22.207199074074072
baixa grande|BA,baixa grande,BA,Northeast,-40.1665725417471,-11.961190251926237,1,14.073796296296296
baixo guandu|ES,baixo guandu,ES,Southeast,-41.01380268321491,-19.51359351783617,8,12.737029803240741
balbinos|SP,balbinos,SP,Southeast,-49.35610402870115,-21.901038055944788,1,6.848194444444444
baldim|MG,baldim,MG,Southeast,-43.95400550827032,-19.289475645900904,2,10.229010416666666
balneario arroio do silva|SC,balneario arroio do silva,SC,South,-49.41916434484192,-28.985708585592224,4,20.26811921296296
balneario barra do sul|SC,balneario barra do sul,SC,South,-48.61618058743272,-26.458559473096873,4,11.751174768518517
balneario camboriu|SC,balneario camboriu,SC,South,-48.634162435885465,-26.993432999999943,97,14.40794590015273
balneario gaivota|SC,balneario gaivota,SC,South,-49.58575134306121,-29.159838643412925,3,13.91412037037037
balneario picarras|SC,balneario picarras,SC,South,-48.67973449062277,-26.764562856256525,8,17.047482638888887
balneario pinhal|RS,balneario pinhal,RS,South,-50.24114961313911,-30.248098682028512,7,13.189593253968255
balneario rincao|SC,balneario rincao,SC,South,-49.22862805074014,-28.826063947641963,3,23.30059799382716
balsa nova|PR,balsa nova,PR,South,-49.62871688299001,-25.577468002117826,1,14.122581018518519
balsamo|SP,balsamo,SP,Southeast,-49.581776940674466,-20.73714082340127,6,8.342062114197532
balsas|MA,balsas,MA,Northeast,-46.039815842320074,-7.527555755400502,17,26.52128744553377
